"ID","TL","Depth","mean.Rug","ID.chapter","Site","life_stage","Species","Record","Habitat","wi"
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Pavement",0.422649223221586
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Sand",0.980262582056893
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Algae",0.403040935672515
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Soft.cor",0
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Cbranching",0
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Fbranching",0.228211920529801
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Mcoral",0.116813559322034
1,2,1.8,1.533,4,2,"recruits","chrysurus",1,"Rubble",4.25277676950998
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Pavement",1.0632633279483
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Sand",1.16241610738255
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Algae",0.23248322147651
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Soft.cor",0
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Cbranching",0.412380952380952
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Fbranching",0.368510638297872
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Mcoral",0.392521246458924
2,1.7,1.8,1.5,5,3,"recruits","chrysurus",2,"Rubble",2.48667779632721
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Pavement",0.671534733441034
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Sand",3.48724832214765
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Algae",0.46496644295302
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Soft.cor",0.0751409978308026
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Cbranching",0
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Fbranching",0
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Mcoral",0.392521246458924
3,2.1,1.4,1.767,6,3,"recruits","chrysurus",3,"Rubble",2.25535893155259
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Pavement",0.867399030694669
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Sand",0
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Algae",1.39489932885906
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Soft.cor",0.375704989154013
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Cbranching",0
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Fbranching",3.93078014184397
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Mcoral",1.66821529745042
4,1.5,1.4,2.133,17,3,"recruits","moluccensis",4,"Rubble",0.404808013355593
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Pavement",0.755476575121163
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Sand",1.16241610738255
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Algae",0.46496644295302
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Soft.cor",0.676268980477223
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Cbranching",0
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Fbranching",1.71971631205674
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Mcoral",2.8457790368272
5,1.5,2.3,1.933,32,3,"recruits","moluccensis",5,"Rubble",0.520467445742905
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Pavement",1.09124394184168
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Sand",1.62738255033557
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Algae",0
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Soft.cor",0.525986984815618
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Cbranching",0
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Fbranching",2.08822695035461
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Mcoral",1.47195467422096
6,1.5,3.1,1.86,33,3,"recruits","moluccensis",6,"Rubble",0.462637729549249
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Pavement",1.09124394184168
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Sand",1.62738255033557
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Algae",0
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Soft.cor",0.525986984815618
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Cbranching",0
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Fbranching",2.08822695035461
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Mcoral",1.47195467422096
7,1.5,3.1,1.86,34,3,"recruits","moluccensis",7,"Rubble",0.462637729549249
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Pavement",0.755476575121163
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Sand",0.69744966442953
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Algae",0
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Soft.cor",2.55479392624729
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Cbranching",0
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Fbranching",2.57957446808511
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Mcoral",0.686912181303116
8,1.4,1.9,1.607,36,3,"recruits","moluccensis",8,"Rubble",0.28914858096828
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Pavement",0.563532297628782
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Sand",2.78997811816193
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Algae",0.201520467836257
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Soft.cor",0.773713298791019
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Cbranching",0
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Fbranching",0.456423841059603
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Mcoral",2.10264406779661
9,1.7,2.9,1.62,42,2,"recruits","amboinensis",9,"Rubble",0.562867513611615
